<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
IKCO-O-991007,20201227,590.00,599.00,490.00,514.00,8305975000,16145,372,D,566.00,500.00
IKCO-O-991007,20201226,523.00,650.00,512.00,566.00,3170732000,5606,120,D,794.00,549.00
IKCO-O-991007,20201223,900.00,910.00,720.00,794.00,7191406000,9054,169,D,882.00,750.00
IKCO-O-991007,20201222,900.00,950.00,825.00,882.00,18455396000,20920,447,D,779.00,900.00
IKCO-O-991007,20201221,910.00,910.00,700.00,779.00,1226841000,1574,41,D,947.00,700.00
IKCO-O-991007,20201220,962.00,1000.00,920.00,947.00,394826000,417,13,D,1196.00,923.00
IKCO-O-991007,20201219,1500.00,1500.00,1114.00,1196.00,165094000,138,9,D,1406.00,1131.00
IKCO-O-991007,20201216,1390.00,1500.00,1289.00,1406.00,708536000,504,19,D,981.00,1500.00
IKCO-O-991007,20201215,980.00,1314.00,950.00,981.00,510014000,520,33,D,1385.00,1314.00
IKCO-O-991007,20201214,1311.00,1690.00,1101.00,1385.00,337993000,244,13,D,1409.00,1204.00
IKCO-O-991007,20201213,1426.00,1426.00,1401.00,1409.00,219882000,156,7,D,1559.00,1411.00
IKCO-O-991007,20201212,1599.00,1600.00,1500.00,1559.00,1586969000,1018,21,D,1577.00,1500.00
IKCO-O-991007,20201209,1650.00,1650.00,1530.00,1577.00,36260000,23,4,D,1683.00,1600.00
IKCO-O-991007,20201208,1601.00,2000.00,1601.00,1683.00,1923379000,1143,17,D,1677.00,1693.00
IKCO-O-991007,20201207,1760.00,1760.00,1620.00,1677.00,613680000,366,24,D,1775.00,1622.00
IKCO-O-991007,20201206,1799.00,1854.00,1702.00,1775.00,2250666000,1268,58,D,1689.00,1800.00
IKCO-O-991007,20201205,1556.00,1744.00,1526.00,1689.00,2297395000,1360,51,D,1567.00,1738.00
IKCO-O-991007,20201202,1558.00,1600.00,1420.00,1567.00,444981000,284,17,D,1612.00,1461.00
IKCO-O-991007,20201201,1650.00,1690.00,1600.00,1612.00,565850000,351,27,D,1669.00,1611.00
IKCO-O-991007,20201130,1500.00,1798.00,1500.00,1669.00,577573000,346,35,D,1536.00,1610.00
IKCO-O-991007,20201129,1400.00,1640.00,1400.00,1536.00,1476531000,961,51,D,1371.00,1640.00
IKCO-O-991007,20201128,1302.00,1488.00,1302.00,1371.00,219387000,160,16,D,1569.00,1444.00
IKCO-O-991007,20201125,1599.00,1650.00,1501.00,1569.00,715588000,456,32,D,1549.00,1510.00
IKCO-O-991007,20201124,1650.00,1655.00,1100.00,1549.00,1361195000,879,43,D,1485.00,1609.00
IKCO-O-991007,20201123,1455.00,1500.00,1440.00,1485.00,412762000,278,18,D,1358.00,1500.00
IKCO-O-991007,20201122,1192.00,1529.00,1000.00,1358.00,2406998000,1772,98,D,1206.00,1499.00
