<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
IKCO-O-991007,20201121,1396.00,1611.00,1010.00,1206.00,1796752000,1490,82,D,1476.00,1190.00
IKCO-O-991007,20201118,1482.00,1507.00,1400.00,1476.00,3234034000,2191,99,D,1266.00,1490.00
IKCO-O-991007,20201117,1220.00,1350.00,1200.00,1266.00,2893003000,2286,74,D,1236.00,1330.00
IKCO-O-991007,20201116,1200.00,1300.00,1151.00,1236.00,1322264000,1070,55,D,1148.00,1184.00
IKCO-O-991007,20201115,1150.00,1199.00,1100.00,1148.00,202028000,176,18,D,1202.00,1150.00
IKCO-O-991007,20201114,1100.00,1249.00,1100.00,1202.00,963156000,801,52,D,954.00,1249.00
IKCO-O-991007,20201111,920.00,1111.00,906.00,954.00,127891000,134,16,D,886.00,1069.00
IKCO-O-991007,20201110,950.00,951.00,782.00,886.00,223375000,252,15,D,946.00,910.00
IKCO-O-991007,20201109,855.00,1049.00,855.00,946.00,53897000,57,11,D,827.00,1049.00
IKCO-O-991007,20201108,950.00,950.00,802.00,827.00,278636000,337,18,D,1124.00,889.00
IKCO-O-991007,20201107,801.00,1499.00,801.00,1124.00,399123000,355,24,D,1212.00,1150.00
IKCO-O-991007,20201102,1063.00,1271.00,870.00,1212.00,351436000,290,16,D,1205.00,921.00
IKCO-O-991007,20201031,1100.00,1260.00,1020.00,1205.00,809474000,672,27,D,1142.00,1250.00
IKCO-O-991007,20201028,999.00,1196.00,999.00,1142.00,2496302000,2185,89,D,1074.00,1180.00
IKCO-O-991007,20201027,1150.00,1180.00,965.00,1074.00,1184486000,1103,35,D,997.00,984.00
IKCO-O-991007,20201026,1150.00,1200.00,901.00,997.00,773640000,776,46,D,988.00,1200.00
IKCO-O-991007,20201024,1000.00,1020.00,901.00,988.00,98781000,100,14,D,1328.00,1020.00
IKCO-O-991007,20201021,1600.00,1600.00,1150.00,1328.00,286746000,216,26,D,970.00,1160.00
IKCO-O-991007,20201020,1389.00,1389.00,789.00,970.00,866010000,893,68,D,864.00,1300.00
IKCO-O-991007,20201019,949.00,949.00,844.00,864.00,295363000,342,27,D,939.00,890.00
IKCO-O-991007,20201018,1000.00,1000.00,900.00,939.00,300387000,320,55,D,1149.00,999.00
IKCO-O-991007,20201014,1250.00,1250.00,1001.00,1149.00,1633289000,1421,89,D,1402.00,1100.00
IKCO-O-991007,20201013,1510.00,1510.00,1376.00,1402.00,3263807000,2328,95,D,1283.00,1420.00
IKCO-O-991007,20201012,1200.00,1449.00,1200.00,1283.00,4213598000,3285,100,D,1278.00,1420.00
IKCO-O-991007,20201011,1489.00,1489.00,1102.00,1278.00,3317590000,2595,91,D,1258.00,1290.00
IKCO-O-991007,20201010,1490.00,1490.00,1200.00,1258.00,1355926000,1078,63,D,1301.00,1290.00
IKCO-O-991007,20201007,1375.00,1376.00,1170.00,1301.00,1575673000,1211,83,D,1094.00,1350.00
IKCO-O-991007,20201006,1000.00,1199.00,1000.00,1094.00,1033755000,945,88,D,886.00,1199.00
IKCO-O-991007,20201005,924.00,924.00,800.00,886.00,1206220000,1361,63,D,849.00,915.00
IKCO-O-991007,20201004,995.00,995.00,750.00,849.00,2578795000,3039,122,D,839.00,750.00
IKCO-O-991007,20201003,950.00,1000.00,746.00,839.00,5585049000,6657,209,D,797.00,898.00
IKCO-O-991007,20200930,899.00,899.00,700.00,797.00,4420981000,5546,174,D,632.00,840.00
IKCO-O-991007,20200929,200.00,850.00,200.00,632.00,3822814000,6049,218,D,517.00,650.00
IKCO-O-991007,20200928,520.00,790.00,500.00,517.00,1491509000,2887,106,D,705.00,500.00
IKCO-O-991007,20200927,1000.00,1000.00,700.00,705.00,1417490000,2010,41,D,1023.00,700.00
IKCO-O-991007,20200926,1000.00,1050.00,1000.00,1023.00,255750000,250,19,D,1.00,1050.00
