<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
IKCO-O-991007,20201227,1014.00,1090.00,990.00,1019.00,27792788000,27269,594,D,1079.00,1000.00
IKCO-O-991007,20201226,1230.00,1230.00,1004.00,1079.00,4901958000,4545,108,D,1297.00,1041.00
IKCO-O-991007,20201223,1100.00,1430.00,1100.00,1297.00,7299715000,5630,118,D,1394.00,1236.00
IKCO-O-991007,20201222,1280.00,1450.00,1280.00,1394.00,6049383000,4340,63,D,1349.00,1400.00
IKCO-O-991007,20201221,1350.00,1500.00,1270.00,1349.00,2405885000,1784,44,D,1539.00,1290.00
IKCO-O-991007,20201220,1480.00,1591.00,1480.00,1539.00,293874000,191,11,D,1433.00,1480.00
IKCO-O-991007,20201219,1714.00,1714.00,220.00,1433.00,313900000,219,19,D,1614.00,1650.00
IKCO-O-991007,20201216,1565.00,1710.00,1565.00,1614.00,56496000,35,5,D,1502.00,1710.00
IKCO-O-991007,20201215,1460.00,1600.00,1450.00,1502.00,492781000,328,31,D,1709.00,1599.00
IKCO-O-991007,20201214,1900.00,1900.00,1700.00,1709.00,2222859000,1301,20,D,1911.00,1799.00
IKCO-O-991007,20201213,1910.00,1912.00,1910.00,1911.00,160565000,84,4,D,2073.00,1911.00
IKCO-O-991007,20201212,2000.00,2250.00,2000.00,2073.00,2328513000,1123,29,D,2000.00,2000.00
IKCO-O-991007,20201209,2000.00,2000.00,2000.00,2000.00,68000000,34,1,D,2191.00,2000.00
IKCO-O-991007,20201208,2249.00,2249.00,2170.00,2191.00,173090000,79,10,D,2155.00,2170.00
IKCO-O-991007,20201207,2252.00,2300.00,2120.00,2155.00,538857000,250,13,D,2309.00,2120.00
IKCO-O-991007,20201206,2500.00,2500.00,2252.00,2309.00,884371000,383,31,D,2157.00,2340.00
IKCO-O-991007,20201205,2098.00,2298.00,2041.00,2157.00,1235890000,573,28,D,2029.00,2278.00
IKCO-O-991007,20201202,2100.00,2100.00,1950.00,2029.00,888894000,438,13,D,2118.00,1950.00
IKCO-O-991007,20201201,2300.00,2300.00,2100.00,2118.00,957167000,452,23,D,2181.00,2100.00
IKCO-O-991007,20201130,2210.00,2260.00,2080.00,2181.00,553892000,254,20,D,2062.00,2100.00
IKCO-O-991007,20201129,1904.00,2085.00,1904.00,2062.00,812280000,394,23,D,1817.00,2056.00
IKCO-O-991007,20201128,1805.00,1920.00,1752.00,1817.00,819377000,451,32,D,2054.00,1900.00
IKCO-O-991007,20201125,2098.00,2190.00,2010.00,2054.00,127366000,62,13,D,2047.00,2020.00
IKCO-O-991007,20201124,2000.00,2220.00,1850.00,2047.00,835035000,408,38,D,2016.00,2130.00
IKCO-O-991007,20201123,1960.00,2100.00,1935.00,2016.00,153179000,76,17,D,1934.00,1981.00
IKCO-O-991007,20201122,1800.00,2002.00,1701.00,1934.00,1237863000,640,60,D,1993.00,1956.00
IKCO-O-991007,20201121,1900.00,2098.00,1619.00,1993.00,852826000,428,56,D,1951.00,1797.00
IKCO-O-991007,20201118,1111.00,1999.00,1111.00,1951.00,3760517000,1927,83,D,1864.00,1999.00
IKCO-O-991007,20201117,1400.00,1949.00,1400.00,1864.00,872543000,468,53,D,1695.00,1820.00
