<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
IKCO-O-991007,20201227,1.00,1.00,1.00,1.00,1843000,1843,42,D,1.00,1.00
IKCO-O-991007,20201223,1.00,1.00,1.00,1.00,600000,600,6,D,1.00,1.00
IKCO-O-991007,20201222,1.00,1.00,1.00,1.00,617000,617,14,D,2.00,1.00
IKCO-O-991007,20201221,2.00,2.00,2.00,2.00,1080000,540,7,D,4.00,2.00
IKCO-O-991007,20201220,4.00,4.00,4.00,4.00,2000000,500,9,D,2.00,4.00
IKCO-O-991007,20201219,2.00,2.00,2.00,2.00,42000,21,4,D,5.00,2.00
IKCO-O-991007,20201215,5.00,9.00,3.00,5.00,2839000,595,12,D,9.00,9.00
IKCO-O-991007,20201214,29.00,29.00,6.00,9.00,1896000,222,5,D,16.00,7.00
IKCO-O-991007,20201213,15.00,19.00,15.00,16.00,939000,60,3,D,20.00,19.00
IKCO-O-991007,20201212,20.00,20.00,10.00,20.00,8020000,402,5,D,21.00,10.00
IKCO-O-991007,20201209,30.00,30.00,19.00,21.00,12373000,595,12,D,30.00,19.00
IKCO-O-991007,20201208,30.00,30.00,30.00,30.00,36000000,1200,24,D,30.00,30.00
IKCO-O-991007,20201207,18.00,35.00,18.00,30.00,16838000,559,18,D,68.00,30.00
IKCO-O-991007,20201206,71.00,71.00,67.00,68.00,15027000,221,9,D,97.00,70.00
IKCO-O-991007,20201205,99.00,99.00,90.00,97.00,83009000,856,17,D,79.00,90.00
IKCO-O-991007,20201202,80.00,100.00,73.00,79.00,54041000,688,15,D,90.00,73.00
IKCO-O-991007,20201201,90.00,90.00,85.00,90.00,11750000,131,8,D,71.00,90.00
IKCO-O-991007,20201130,71.00,80.00,71.00,71.00,7713000,108,3,D,96.00,80.00
IKCO-O-991007,20201129,99.00,99.00,81.00,96.00,9396000,98,4,D,76.00,81.00
IKCO-O-991007,20201128,80.00,90.00,73.00,76.00,24120000,317,6,D,94.00,73.00
IKCO-O-991007,20201125,90.00,105.00,90.00,94.00,56601000,600,11,D,94.00,90.00
IKCO-O-991007,20201124,91.00,100.00,85.00,94.00,52690000,559,12,D,104.00,100.00
IKCO-O-991007,20201123,110.00,150.00,91.00,104.00,119340000,1146,16,D,104.00,98.00
IKCO-O-991007,20201122,90.00,120.00,90.00,104.00,29305000,281,6,D,119.00,106.00
IKCO-O-991007,20201121,181.00,199.00,94.00,119.00,38396000,323,14,D,134.00,100.00
IKCO-O-991007,20201118,16.00,149.00,16.00,134.00,31410000,235,11,D,130.00,140.00
IKCO-O-991007,20201117,132.00,132.00,127.00,130.00,42353000,327,6,D,150.00,127.00
IKCO-O-991007,20201116,179.00,180.00,130.00,150.00,42584000,284,11,D,94.00,139.00
IKCO-O-991007,20201115,90.00,119.00,90.00,94.00,29814000,316,6,D,109.00,119.00
IKCO-O-991007,20201114,106.00,120.00,105.00,109.00,21850000,200,3,D,105.00,120.00
IKCO-O-991007,20201111,111.00,145.00,101.00,105.00,68375000,649,12,D,108.00,106.00
IKCO-O-991007,20201110,108.00,108.00,108.00,108.00,10800000,100,4,D,111.00,108.00
IKCO-O-991007,20201109,112.00,112.00,100.00,111.00,12000000,108,5,D,101.00,100.00
IKCO-O-991007,20201108,101.00,101.00,101.00,101.00,5050000,50,3,D,176.00,101.00
IKCO-O-991007,20201031,299.00,299.00,162.00,176.00,84205000,479,17,D,197.00,186.00
IKCO-O-991007,20201028,294.00,200.00,139.00,197.00,10428000,53,5,D,151.00,200.00
IKCO-O-991007,20201027,121.00,191.00,121.00,151.00,36648000,242,5,D,131.00,191.00
IKCO-O-991007,20201020,113.00,150.00,112.00,131.00,52500000,400,4,D,111.00,150.00
IKCO-O-991007,20201019,110.00,120.00,110.00,111.00,20120000,182,3,D,101.00,120.00
IKCO-O-991007,20201018,101.00,101.00,101.00,101.00,10100000,100,1,D,100.00,101.00
IKCO-O-991007,20201005,100.00,100.00,100.00,100.00,3000000,30,1,D,233.00,100.00
IKCO-O-991007,20200923,200.00,300.00,200.00,233.00,7000000,30,3,D,1.00,300.00
