<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
IKCO-O-991007,20201227,1.00,1.00,1.00,1.00,1821000,1821,43,D,6.00,1.00
IKCO-O-991007,20201226,30.00,30.00,1.00,6.00,243582000,41561,823,D,48.00,1.00
IKCO-O-991007,20201223,100.00,115.00,26.00,48.00,1404938000,29207,680,D,114.00,30.00
IKCO-O-991007,20201222,79.00,145.00,76.00,114.00,8091603000,70867,1314,D,122.00,130.00
IKCO-O-991007,20201221,112.00,210.00,70.00,122.00,938054000,7686,197,D,181.00,101.00
IKCO-O-991007,20201220,233.00,299.00,156.00,181.00,923412000,5095,136,D,296.00,179.00
IKCO-O-991007,20201219,380.00,380.00,253.00,296.00,1114953000,3763,113,D,332.00,293.00
IKCO-O-991007,20201216,230.00,380.00,230.00,332.00,1343730000,4052,122,D,225.00,345.00
IKCO-O-991007,20201215,303.00,378.00,143.00,225.00,3515164000,15636,352,D,469.00,310.00
IKCO-O-991007,20201214,740.00,745.00,352.00,469.00,4195568000,8946,238,D,654.00,380.00
IKCO-O-991007,20201213,820.00,820.00,610.00,654.00,1084382000,1657,65,D,722.00,613.00
IKCO-O-991007,20201212,710.00,790.00,680.00,722.00,2560942000,3546,122,D,779.00,680.00
IKCO-O-991007,20201209,890.00,890.00,720.00,779.00,1543880000,1981,78,D,789.00,800.00
IKCO-O-991007,20201208,769.00,859.00,700.00,789.00,2518799000,3191,87,D,798.00,782.00
IKCO-O-991007,20201207,900.00,900.00,704.00,798.00,3515664000,4408,154,D,851.00,767.00
IKCO-O-991007,20201206,900.00,904.00,811.00,851.00,4651098000,5466,208,D,817.00,860.00
IKCO-O-991007,20201205,750.00,890.00,701.00,817.00,5256810000,6433,221,D,774.00,873.00
IKCO-O-991007,20201202,794.00,836.00,652.00,774.00,3089863000,3992,132,D,780.00,683.00
IKCO-O-991007,20201201,710.00,817.00,702.00,780.00,2287229000,2933,111,D,814.00,751.00
IKCO-O-991007,20201130,780.00,850.00,730.00,814.00,9909536000,12181,331,D,736.00,730.00
IKCO-O-991007,20201129,750.00,770.00,691.00,736.00,8741670000,11871,289,D,685.00,750.00
IKCO-O-991007,20201128,700.00,728.00,620.00,685.00,2503808000,3657,103,D,756.00,688.00
IKCO-O-991007,20201125,749.00,790.00,700.00,756.00,2276904000,3013,119,D,736.00,710.00
IKCO-O-991007,20201124,741.00,800.00,670.00,736.00,3634503000,4940,165,D,727.00,745.00
IKCO-O-991007,20201123,799.00,799.00,690.00,727.00,4360300000,5994,181,D,683.00,730.00
IKCO-O-991007,20201122,700.00,750.00,530.00,683.00,6044514000,8849,255,D,713.00,670.00
IKCO-O-991007,20201121,840.00,840.00,553.00,713.00,6691123000,9383,284,D,684.00,598.00
IKCO-O-991007,20201118,600.00,715.00,600.00,684.00,5034869000,7362,193,D,598.00,700.00
IKCO-O-991007,20201117,410.00,639.00,410.00,598.00,2567867000,4297,110,D,543.00,630.00
IKCO-O-991007,20201116,539.00,559.00,500.00,543.00,1297039000,2387,66,D,490.00,550.00
IKCO-O-991007,20201115,597.00,597.00,417.00,490.00,2047827000,4180,126,D,519.00,480.00
IKCO-O-991007,20201114,509.00,545.00,464.00,519.00,3701077000,7130,176,D,427.00,522.00
IKCO-O-991007,20201111,450.00,470.00,381.00,427.00,1006154000,2355,63,D,407.00,470.00
IKCO-O-991007,20201110,440.00,460.00,375.00,407.00,1230691000,3027,77,D,388.00,413.00
IKCO-O-991007,20201109,370.00,468.00,353.00,388.00,1036674000,2673,81,D,345.00,410.00
IKCO-O-991007,20201108,410.00,410.00,315.00,345.00,377114000,1092,62,D,458.00,369.00
IKCO-O-991007,20201107,489.00,540.00,423.00,458.00,1260157000,2751,82,D,475.00,423.00
IKCO-O-991007,20201104,590.00,590.00,460.00,475.00,2128490000,4483,99,D,508.00,480.00
IKCO-O-991007,20201102,580.00,580.00,476.00,508.00,905759000,1782,41,D,585.00,520.00
IKCO-O-991007,20201031,620.00,620.00,550.00,585.00,4246411000,7253,155,D,528.00,550.00
IKCO-O-991007,20201028,510.00,590.00,480.00,528.00,4019707000,7606,158,D,478.00,515.00
IKCO-O-991007,20201027,600.00,600.00,435.00,478.00,1366460000,2858,87,D,477.00,460.00
IKCO-O-991007,20201026,498.00,545.00,435.00,477.00,3639970000,7625,205,D,471.00,501.00
IKCO-O-991007,20201024,542.00,550.00,430.00,471.00,2032995000,4318,97,D,569.00,441.00
IKCO-O-991007,20201021,650.00,690.00,507.00,569.00,8800465000,15478,333,D,485.00,529.00
IKCO-O-991007,20201020,350.00,599.00,350.00,485.00,1718606000,3540,84,D,421.00,598.00
IKCO-O-991007,20201019,580.00,580.00,382.00,421.00,963777000,2287,61,D,482.00,383.00
IKCO-O-991007,20201018,507.00,508.00,461.00,482.00,340524000,706,22,D,504.00,473.00
IKCO-O-991007,20201014,426.00,599.00,426.00,504.00,7215849000,14317,270,D,748.00,522.00
IKCO-O-991007,20201013,501.00,800.00,501.00,748.00,1472858000,1970,54,D,678.00,770.00
