<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
IKCO-O-991007,20201012,750.00,778.00,600.00,678.00,1141910000,1685,61,D,681.00,715.00
IKCO-O-991007,20201011,700.00,800.00,558.00,681.00,1024901000,1506,45,D,690.00,600.00
IKCO-O-991007,20201010,800.00,800.00,611.00,690.00,1006722000,1458,47,D,709.00,705.00
IKCO-O-991007,20201007,790.00,790.00,600.00,709.00,6222032000,8771,237,D,570.00,700.00
IKCO-O-991007,20201006,640.00,640.00,550.00,570.00,638394000,1120,37,D,417.00,580.00
IKCO-O-991007,20201005,591.00,591.00,380.00,417.00,278837000,669,41,D,373.00,494.00
IKCO-O-991007,20201004,550.00,600.00,300.00,373.00,461715000,1239,67,D,356.00,340.00
IKCO-O-991007,20201003,400.00,500.00,300.00,356.00,3825348000,10733,252,D,373.00,400.00
IKCO-O-991007,20200930,400.00,450.00,331.00,373.00,581356000,1557,65,D,450.00,350.00
IKCO-O-991007,20200929,500.00,649.00,390.00,450.00,23425000,52,6,D,715.00,390.00
IKCO-O-991007,20200927,715.00,715.00,715.00,715.00,3575000,5,1,D,620.00,715.00
IKCO-O-991007,20200926,990.00,990.00,550.00,620.00,248726000,401,34,D,716.00,580.00
IKCO-O-991007,20200923,600.00,850.00,600.00,716.00,17903000,25,8,D,1.00,701.00
