<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
IKCO-O-991007,20201227,1.00,1.00,1.00,1.00,2680000,2680,57,D,1.00,1.00
IKCO-O-991007,20201223,1.00,1.00,1.00,1.00,876000,876,25,D,1.00,1.00
IKCO-O-991007,20201222,1.00,3.00,1.00,1.00,7567000,5399,82,D,2.00,1.00
IKCO-O-991007,20201221,2.00,3.00,1.00,2.00,2510000,1210,20,D,3.00,1.00
IKCO-O-991007,20201220,3.00,4.00,2.00,3.00,7040000,2690,57,D,4.00,3.00
IKCO-O-991007,20201219,3.00,5.00,3.00,4.00,17998000,4281,83,D,6.00,4.00
IKCO-O-991007,20201216,10.00,15.00,3.00,6.00,17333000,2676,69,D,10.00,7.00
IKCO-O-991007,20201215,20.00,22.00,6.00,10.00,17619000,1743,70,D,20.00,8.00
IKCO-O-991007,20201214,155.00,155.00,14.00,20.00,289543000,14518,272,D,48.00,20.00
IKCO-O-991007,20201213,69.00,69.00,40.00,48.00,180413000,3732,106,D,110.00,42.00
IKCO-O-991007,20201212,110.00,130.00,85.00,110.00,79955000,730,28,D,132.00,85.00
IKCO-O-991007,20201209,140.00,166.00,120.00,132.00,151704000,1149,38,D,140.00,125.00
IKCO-O-991007,20201208,164.00,164.00,120.00,140.00,110255000,787,21,D,121.00,126.00
IKCO-O-991007,20201207,150.00,170.00,100.00,121.00,619650000,5110,114,D,174.00,102.00
IKCO-O-991007,20201206,200.00,200.00,160.00,174.00,396894000,2275,70,D,170.00,172.00
IKCO-O-991007,20201205,163.00,180.00,150.00,170.00,366505000,2154,52,D,149.00,167.00
IKCO-O-991007,20201202,189.00,189.00,131.00,149.00,300000000,2014,64,D,160.00,160.00
IKCO-O-991007,20201201,180.00,190.00,151.00,160.00,152857000,953,36,D,174.00,151.00
IKCO-O-991007,20201130,180.00,193.00,142.00,174.00,251801000,1448,42,D,172.00,158.00
IKCO-O-991007,20201129,199.00,199.00,160.00,172.00,48485000,282,28,D,162.00,175.00
IKCO-O-991007,20201128,197.00,197.00,131.00,162.00,135399000,834,18,D,166.00,147.00
IKCO-O-991007,20201125,105.00,196.00,146.00,166.00,281021000,1692,43,D,193.00,177.00
IKCO-O-991007,20201124,210.00,219.00,177.00,193.00,255785000,1323,31,D,184.00,190.00
IKCO-O-991007,20201123,209.00,209.00,173.00,184.00,141649000,771,33,D,182.00,186.00
IKCO-O-991007,20201122,112.00,230.00,112.00,182.00,344911000,1891,61,D,198.00,175.00
IKCO-O-991007,20201121,249.00,249.00,166.00,198.00,527006000,2658,84,D,175.00,180.00
IKCO-O-991007,20201118,170.00,189.00,170.00,175.00,1020738000,5842,108,D,173.00,177.00
IKCO-O-991007,20201117,180.00,189.00,165.00,173.00,56345000,325,6,D,164.00,165.00
IKCO-O-991007,20201116,170.00,190.00,150.00,164.00,192059000,1169,35,D,171.00,156.00
IKCO-O-991007,20201115,180.00,184.00,145.00,171.00,131850000,770,12,D,160.00,184.00
IKCO-O-991007,20201114,160.00,169.00,150.00,160.00,62260000,390,11,D,148.00,169.00
IKCO-O-991007,20201111,102.00,160.00,102.00,148.00,65949000,445,18,D,132.00,131.00
IKCO-O-991007,20201110,141.00,141.00,127.00,132.00,27341000,207,6,D,145.00,127.00
IKCO-O-991007,20201109,131.00,155.00,130.00,145.00,69136000,477,10,D,178.00,155.00
IKCO-O-991007,20201108,285.00,285.00,121.00,178.00,10675000,60,8,D,184.00,130.00
IKCO-O-991007,20201107,241.00,241.00,158.00,184.00,103656000,564,33,D,172.00,184.00
IKCO-O-991007,20201104,247.00,247.00,165.00,172.00,8417000,49,3,D,172.00,165.00
IKCO-O-991007,20201102,165.00,210.00,150.00,172.00,212671000,1239,45,D,226.00,200.00
IKCO-O-991007,20201031,225.00,245.00,213.00,226.00,276592000,1224,31,D,211.00,213.00
IKCO-O-991007,20201028,220.00,230.00,172.00,211.00,161363000,763,32,D,191.00,210.00
IKCO-O-991007,20201027,201.00,201.00,158.00,191.00,250393000,1309,36,D,223.00,200.00
IKCO-O-991007,20201026,289.00,290.00,200.00,223.00,319646000,1434,44,D,189.00,201.00
IKCO-O-991007,20201024,180.00,200.00,180.00,189.00,57401000,304,9,D,241.00,200.00
IKCO-O-991007,20201021,220.00,381.00,164.00,241.00,87563000,364,23,D,177.00,260.00
IKCO-O-991007,20201020,297.00,297.00,140.00,177.00,294870000,1666,36,D,181.00,220.00
IKCO-O-991007,20201019,399.00,399.00,140.00,181.00,235630000,1300,21,D,185.00,146.00
IKCO-O-991007,20201018,200.00,200.00,168.00,185.00,72550000,392,18,D,186.00,195.00
IKCO-O-991007,20201014,200.00,220.00,180.00,186.00,159396000,858,26,D,296.00,220.00
IKCO-O-991007,20201013,290.00,320.00,280.00,296.00,3377101000,11427,173,D,243.00,320.00
IKCO-O-991007,20201012,200.00,290.00,200.00,243.00,307999000,1268,33,D,269.00,290.00
IKCO-O-991007,20201011,310.00,320.00,260.00,269.00,83393000,310,14,D,237.00,265.00
IKCO-O-991007,20201010,210.00,310.00,200.00,237.00,59683000,252,14,D,268.00,295.00
IKCO-O-991007,20201007,270.00,350.00,201.00,268.00,309614000,1157,44,D,221.00,350.00
IKCO-O-991007,20201006,240.00,280.00,163.00,221.00,402234000,1820,53,D,137.00,270.00
IKCO-O-991007,20201005,84.00,190.00,84.00,137.00,182818000,1338,51,D,113.00,130.00
IKCO-O-991007,20201004,276.00,276.00,90.00,113.00,159494000,1411,44,D,77.00,110.00
IKCO-O-991007,20201003,400.00,400.00,50.00,77.00,426659000,5559,111,D,210.00,220.00
