<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
IKCO-O-991007,20201227,1.00,1.00,1.00,1.00,6500000,6500,138,D,1.00,1.00
IKCO-O-991007,20201223,1.00,1.00,1.00,1.00,3551000,3551,55,D,1.00,1.00
IKCO-O-991007,20201222,2.00,3.00,1.00,1.00,14802000,10622,215,D,3.00,1.00
IKCO-O-991007,20201221,10.00,10.00,2.00,3.00,69145000,20696,381,D,11.00,2.00
IKCO-O-991007,20201220,33.00,33.00,8.00,11.00,70422000,6695,148,D,18.00,10.00
IKCO-O-991007,20201219,54.00,54.00,10.00,18.00,173924000,9689,188,D,35.00,39.00
IKCO-O-991007,20201216,28.00,56.00,20.00,35.00,715193000,20537,403,D,20.00,36.00
IKCO-O-991007,20201215,80.00,80.00,10.00,20.00,378153000,19093,371,D,80.00,18.00
IKCO-O-991007,20201214,180.00,180.00,55.00,80.00,1390449000,17483,397,D,171.00,83.00
IKCO-O-991007,20201213,227.00,227.00,95.00,171.00,1027039000,6019,143,D,206.00,126.00
IKCO-O-991007,20201212,230.00,248.00,180.00,206.00,771955000,3756,112,D,228.00,193.00
IKCO-O-991007,20201209,215.00,250.00,215.00,228.00,356597000,1563,55,D,256.00,240.00
IKCO-O-991007,20201208,231.00,277.00,225.00,256.00,1828243000,7144,144,D,277.00,250.00
IKCO-O-991007,20201207,310.00,310.00,235.00,277.00,2051378000,7397,152,D,310.00,250.00
IKCO-O-991007,20201206,307.00,320.00,298.00,310.00,2236407000,7213,163,D,303.00,317.00
IKCO-O-991007,20201205,257.00,314.00,255.00,303.00,2633744000,8704,228,D,281.00,314.00
IKCO-O-991007,20201202,297.00,318.00,250.00,281.00,1498102000,5332,147,D,306.00,270.00
IKCO-O-991007,20201201,300.00,318.00,277.00,306.00,810195000,2649,61,D,304.00,297.00
IKCO-O-991007,20201130,298.00,320.00,275.00,304.00,2577958000,8491,201,D,296.00,290.00
IKCO-O-991007,20201129,260.00,324.00,260.00,296.00,1049608000,3547,88,D,267.00,324.00
IKCO-O-991007,20201128,273.00,300.00,250.00,267.00,1547300000,5806,125,D,303.00,250.00
IKCO-O-991007,20201125,309.00,338.00,281.00,303.00,1694465000,5592,135,D,301.00,300.00
IKCO-O-991007,20201124,280.00,340.00,241.00,301.00,2398649000,7970,181,D,290.00,280.00
IKCO-O-991007,20201123,300.00,324.00,273.00,290.00,1255850000,4337,97,D,263.00,278.00
IKCO-O-991007,20201122,273.00,293.00,229.00,263.00,1109676000,4226,107,D,274.00,264.00
IKCO-O-991007,20201121,294.00,305.00,208.00,274.00,2424483000,8862,185,D,254.00,235.00
IKCO-O-991007,20201118,280.00,280.00,240.00,254.00,2845670000,11223,265,D,232.00,270.00
IKCO-O-991007,20201117,230.00,262.00,210.00,232.00,569124000,2449,51,D,225.00,230.00
IKCO-O-991007,20201116,220.00,298.00,200.00,225.00,463156000,2055,58,D,197.00,225.00
IKCO-O-991007,20201115,243.00,243.00,130.00,197.00,360492000,1830,55,D,207.00,200.00
IKCO-O-991007,20201114,200.00,230.00,191.00,207.00,391964000,1893,53,D,184.00,212.00
IKCO-O-991007,20201111,172.00,228.00,164.00,184.00,528060000,2865,94,D,183.00,200.00
IKCO-O-991007,20201110,200.00,218.00,166.00,183.00,383251000,2098,53,D,209.00,167.00
IKCO-O-991007,20201109,254.00,254.00,172.00,209.00,38716000,185,15,D,177.00,180.00
IKCO-O-991007,20201108,161.00,239.00,161.00,177.00,202413000,1143,26,D,221.00,185.00
IKCO-O-991007,20201107,380.00,380.00,187.00,221.00,510962000,2309,58,D,219.00,187.00
IKCO-O-991007,20201104,398.00,398.00,201.00,219.00,137385000,626,15,D,224.00,240.00
IKCO-O-991007,20201102,220.00,298.00,210.00,224.00,353018000,1576,54,D,298.00,236.00
IKCO-O-991007,20201031,320.00,320.00,283.00,298.00,783141000,2632,57,D,276.00,283.00
IKCO-O-991007,20201028,250.00,300.00,250.00,276.00,671023000,2435,51,D,251.00,270.00
IKCO-O-991007,20201027,298.00,298.00,222.00,251.00,468193000,1862,55,D,252.00,222.00
IKCO-O-991007,20201026,190.00,397.00,180.00,252.00,625242000,2481,63,D,240.00,275.00
IKCO-O-991007,20201024,244.00,267.00,230.00,240.00,316433000,1319,37,D,307.00,230.00
IKCO-O-991007,20201021,261.00,340.00,261.00,307.00,1466750000,4785,111,D,250.00,311.00
IKCO-O-991007,20201020,237.00,304.00,184.00,250.00,850657000,3404,72,D,219.00,300.00
IKCO-O-991007,20201019,294.00,294.00,203.00,219.00,576682000,2634,69,D,225.00,217.00
IKCO-O-991007,20201018,230.00,250.00,218.00,225.00,608285000,2701,64,D,264.00,225.00
IKCO-O-991007,20201014,271.00,358.00,252.00,264.00,1214386000,4605,137,D,364.00,262.00
IKCO-O-991007,20201013,360.00,389.00,335.00,364.00,4072751000,11199,279,D,257.00,361.00
IKCO-O-991007,20201012,300.00,399.00,200.00,257.00,10330742000,40231,759,D,315.00,370.00
IKCO-O-991007,20201011,360.00,360.00,268.00,315.00,459188000,1456,69,D,225.00,268.00
IKCO-O-991007,20201010,390.00,390.00,160.00,225.00,1288531000,5737,128,D,310.00,285.00
IKCO-O-991007,20201007,340.00,369.00,275.00,310.00,666184000,2148,82,D,172.00,369.00
IKCO-O-991007,20201006,365.00,365.00,120.00,172.00,1315635000,7644,98,D,166.00,286.00
IKCO-O-991007,20201005,150.00,249.00,120.00,166.00,443220000,2663,46,D,141.00,170.00
IKCO-O-991007,20201004,200.00,200.00,126.00,141.00,198565000,1407,22,D,111.00,160.00
IKCO-O-991007,20201003,200.00,200.00,10.00,111.00,719195000,6465,147,D,300.00,200.00
IKCO-O-991007,20200930,300.00,300.00,299.00,300.00,48239000,161,3,D,303.00,299.00
IKCO-O-991007,20200929,499.00,499.00,300.00,303.00,92495000,305,4,D,500.00,300.00
IKCO-O-991007,20200926,500.00,500.00,500.00,500.00,2500000,5,1,D,500.00,500.00
IKCO-O-991007,20200923,500.00,500.00,500.00,500.00,3000000,6,2,D,1.00,500.00
