<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
IKCO-O-991007,20201027,150.00,150.00,78.00,81.00,522601000,6471,151,D,105.00,79.00
IKCO-O-991007,20201026,81.00,172.00,81.00,105.00,144836000,1384,66,D,87.00,101.00
IKCO-O-991007,20201024,149.00,149.00,80.00,87.00,136843000,1571,44,D,104.00,84.00
IKCO-O-991007,20201021,101.00,138.00,96.00,104.00,296373000,2837,85,D,85.00,109.00
IKCO-O-991007,20201020,81.00,140.00,74.00,85.00,422065000,4961,79,D,94.00,139.00
IKCO-O-991007,20201019,174.00,174.00,86.00,94.00,183655000,1950,45,D,99.00,91.00
IKCO-O-991007,20201018,103.00,144.00,90.00,99.00,180626000,1833,35,D,129.00,97.00
IKCO-O-991007,20201014,121.00,144.00,120.00,129.00,161388000,1250,34,D,153.00,120.00
IKCO-O-991007,20201013,171.00,198.00,145.00,153.00,86695000,566,24,D,171.00,145.00
IKCO-O-991007,20201012,140.00,189.00,140.00,171.00,2219000,13,3,D,132.00,175.00
IKCO-O-991007,20201011,146.00,148.00,120.00,132.00,450846000,3413,75,D,130.00,121.00
IKCO-O-991007,20201010,40.00,150.00,40.00,130.00,339477000,2604,77,D,140.00,124.00
IKCO-O-991007,20201007,140.00,150.00,113.00,140.00,176679000,1262,42,D,106.00,150.00
IKCO-O-991007,20201006,110.00,120.00,100.00,106.00,226000000,2135,39,D,91.00,120.00
IKCO-O-991007,20201005,100.00,100.00,90.00,91.00,10000000,110,2,D,200.00,90.00
IKCO-O-991007,20201003,200.00,200.00,200.00,200.00,1000000,5,1,D,100.00,200.00
IKCO-O-991007,20200923,100.00,100.00,100.00,100.00,1000000,10,1,D,1.00,100.00
