<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
IKCO-O-991007,20201227,1.00,1.00,1.00,1.00,1500000,1500,21,D,1.00,1.00
IKCO-O-991007,20201226,1.00,1.00,1.00,1.00,1175000,1175,12,D,1.00,1.00
IKCO-O-991007,20201223,1.00,1.00,1.00,1.00,3600000,3600,70,D,1.00,1.00
IKCO-O-991007,20201222,1.00,2.00,1.00,1.00,7788000,7786,162,D,2.00,1.00
IKCO-O-991007,20201221,3.00,3.00,1.00,2.00,4911000,2993,40,D,3.00,2.00
IKCO-O-991007,20201220,3.00,4.00,2.00,3.00,22549000,7185,138,D,3.00,2.00
IKCO-O-991007,20201219,3.00,4.00,1.00,3.00,21985000,8792,156,D,3.00,3.00
IKCO-O-991007,20201216,3.00,5.00,2.00,3.00,34560000,10646,177,D,3.00,5.00
IKCO-O-991007,20201215,1.00,4.00,1.00,3.00,12642000,5046,75,D,2.00,3.00
IKCO-O-991007,20201214,2.00,4.00,2.00,2.00,36128000,15475,287,D,2.00,2.00
IKCO-O-991007,20201213,3.00,3.00,2.00,2.00,19273000,7893,143,D,3.00,3.00
IKCO-O-991007,20201212,5.00,5.00,2.00,3.00,21486000,6245,123,D,5.00,3.00
IKCO-O-991007,20201209,5.00,9.00,4.00,5.00,55752000,11016,209,D,8.00,7.00
IKCO-O-991007,20201208,10.00,10.00,7.00,8.00,16780000,1976,42,D,13.00,7.00
IKCO-O-991007,20201207,24.00,24.00,9.00,13.00,91404000,6961,149,D,17.00,9.00
IKCO-O-991007,20201206,38.00,38.00,12.00,17.00,240614000,13912,242,D,25.00,17.00
IKCO-O-991007,20201205,34.00,34.00,15.00,25.00,362203000,14668,249,D,26.00,26.00
IKCO-O-991007,20201202,31.00,32.00,23.00,26.00,159120000,6070,117,D,31.00,25.00
IKCO-O-991007,20201201,30.00,34.00,27.00,31.00,97519000,3183,70,D,33.00,31.00
IKCO-O-991007,20201130,45.00,47.00,28.00,33.00,129362000,3893,82,D,34.00,32.00
IKCO-O-991007,20201129,41.00,41.00,31.00,34.00,236198000,6953,146,D,32.00,34.00
IKCO-O-991007,20201128,54.00,54.00,30.00,32.00,160604000,5064,137,D,37.00,31.00
IKCO-O-991007,20201125,40.00,40.00,35.00,37.00,173544000,4682,83,D,39.00,35.00
IKCO-O-991007,20201124,33.00,44.00,33.00,39.00,472758000,11970,178,D,40.00,40.00
IKCO-O-991007,20201123,43.00,44.00,35.00,40.00,134204000,3367,87,D,40.00,36.00
IKCO-O-991007,20201122,37.00,48.00,30.00,40.00,490133000,12374,247,D,45.00,37.00
IKCO-O-991007,20201121,70.00,80.00,36.00,45.00,469454000,10372,212,D,55.00,39.00
IKCO-O-991007,20201118,64.00,65.00,42.00,55.00,286147000,5157,141,D,54.00,65.00
IKCO-O-991007,20201117,62.00,64.00,41.00,54.00,148528000,2757,79,D,67.00,48.00
IKCO-O-991007,20201116,68.00,73.00,61.00,67.00,75251000,1129,38,D,67.00,67.00
IKCO-O-991007,20201115,88.00,88.00,65.00,67.00,201906000,3026,78,D,74.00,70.00
IKCO-O-991007,20201114,100.00,100.00,70.00,74.00,702272000,9494,183,D,77.00,74.00
IKCO-O-991007,20201111,86.00,87.00,68.00,77.00,361272000,4684,99,D,80.00,80.00
IKCO-O-991007,20201110,114.00,114.00,70.00,80.00,273977000,3427,88,D,72.00,84.00
IKCO-O-991007,20201109,115.00,115.00,70.00,72.00,112878000,1567,35,D,77.00,80.00
IKCO-O-991007,20201108,90.00,95.00,69.00,77.00,72339000,938,24,D,86.00,79.00
IKCO-O-991007,20201107,138.00,138.00,80.00,86.00,135973000,1579,31,D,98.00,82.00
IKCO-O-991007,20201104,90.00,108.00,90.00,98.00,58922000,599,15,D,97.00,108.00
IKCO-O-991007,20201102,100.00,128.00,93.00,97.00,79684000,821,17,D,122.00,95.00
IKCO-O-991007,20201031,125.00,134.00,105.00,122.00,725700000,5966,105,D,99.00,134.00
IKCO-O-991007,20201028,81.00,109.00,81.00,99.00,430562000,4329,88,D,81.00,107.00
