<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
IKCO-O-991007,20201021,580.00,580.00,370.00,441.00,13602434000,30860,882,D,307.00,399.00
IKCO-O-991007,20201020,250.00,450.00,248.00,307.00,4035730000,13126,341,D,289.00,450.00
IKCO-O-991007,20201019,299.00,335.00,210.00,289.00,3241543000,11219,358,D,301.00,290.00
IKCO-O-991007,20201018,300.00,339.00,284.00,301.00,4610299000,15341,364,D,357.00,300.00
IKCO-O-991007,20201014,383.00,450.00,332.00,357.00,10294606000,28847,843,D,497.00,342.00
IKCO-O-991007,20201013,401.00,575.00,401.00,497.00,39507458000,79448,1701,D,413.00,510.00
IKCO-O-991007,20201012,430.00,454.00,361.00,413.00,21868816000,52982,1167,D,407.00,420.00
IKCO-O-991007,20201011,370.00,460.00,320.00,407.00,12737926000,31300,873,D,280.00,370.00
IKCO-O-991007,20201010,475.00,550.00,100.00,280.00,61851253000,221192,4419,D,475.00,375.00
IKCO-O-991007,20201007,448.00,500.00,440.00,475.00,6078175000,12795,311,D,285.00,500.00
IKCO-O-991007,20201006,349.00,379.00,200.00,285.00,2367700000,8307,166,D,288.00,370.00
IKCO-O-991007,20201005,257.00,364.00,255.00,288.00,278604000,969,27,D,255.00,310.00
IKCO-O-991007,20201004,300.00,300.00,231.00,255.00,296912000,1164,30,D,212.00,270.00
IKCO-O-991007,20201003,400.00,400.00,180.00,212.00,2837819000,13390,301,D,590.00,330.00
IKCO-O-991007,20200929,590.00,590.00,590.00,590.00,2950000,5,1,D,500.00,590.00
IKCO-O-991007,20200926,500.00,500.00,500.00,500.00,10000000,20,3,D,1.00,500.00
