<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
IKCO-O-991007,20201227,1.00,1.00,1.00,1.00,15111000,15111,249,D,1.00,1.00
IKCO-O-991007,20201226,1.00,1.00,1.00,1.00,646000,646,20,D,1.00,1.00
IKCO-O-991007,20201223,3.00,3.00,1.00,1.00,108857000,75976,1556,D,4.00,1.00
IKCO-O-991007,20201222,8.00,11.00,2.00,4.00,374638000,96010,1834,D,17.00,4.00
IKCO-O-991007,20201221,33.00,34.00,5.00,17.00,1591941000,94222,1739,D,47.00,7.00
IKCO-O-991007,20201220,90.00,90.00,32.00,47.00,2898543000,61113,1216,D,87.00,33.00
IKCO-O-991007,20201219,188.00,188.00,66.00,87.00,3417619000,39392,944,D,117.00,95.00
IKCO-O-991007,20201216,148.00,148.00,106.00,117.00,6133093000,52447,1264,D,93.00,109.00
IKCO-O-991007,20201215,190.00,198.00,40.00,93.00,7915785000,84695,1927,D,244.00,104.00
IKCO-O-991007,20201214,325.00,350.00,150.00,244.00,8331759000,34127,876,D,360.00,186.00
IKCO-O-991007,20201213,375.00,399.00,303.00,360.00,6877717000,19084,542,D,416.00,319.00
IKCO-O-991007,20201212,433.00,465.00,362.00,416.00,8730530000,20980,631,D,448.00,370.00
IKCO-O-991007,20201209,480.00,483.00,420.00,448.00,4865206000,10862,331,D,461.00,453.00
IKCO-O-991007,20201208,475.00,495.00,410.00,461.00,9540915000,20718,515,D,473.00,451.00
IKCO-O-991007,20201207,520.00,520.00,402.00,473.00,20025250000,42368,1084,D,514.00,448.00
IKCO-O-991007,20201206,515.00,550.00,485.00,514.00,21647635000,42149,1164,D,492.00,516.00
IKCO-O-991007,20201205,460.00,523.00,419.00,492.00,22119236000,44979,1232,D,462.00,514.00
IKCO-O-991007,20201202,480.00,490.00,420.00,462.00,19612212000,42487,1038,D,478.00,449.00
IKCO-O-991007,20201201,450.00,502.00,450.00,478.00,15304659000,31990,866,D,491.00,469.00
IKCO-O-991007,20201130,488.00,511.00,466.00,491.00,30080582000,61248,1660,D,457.00,477.00
IKCO-O-991007,20201129,420.00,482.00,400.00,457.00,26027530000,56922,1540,D,421.00,480.00
IKCO-O-991007,20201128,449.00,450.00,398.00,421.00,17220064000,40870,1231,D,454.00,400.00
IKCO-O-991007,20201125,420.00,490.00,403.00,454.00,14147844000,31182,939,D,456.00,431.00
IKCO-O-991007,20201124,470.00,497.00,405.00,456.00,20261744000,44385,1181,D,432.00,440.00
IKCO-O-991007,20201123,399.00,475.00,392.00,432.00,12676867000,29349,749,D,426.00,447.00
IKCO-O-991007,20201122,400.00,470.00,360.00,426.00,12785889000,30010,840,D,435.00,429.00
IKCO-O-991007,20201121,475.00,499.00,356.00,435.00,17288281000,39727,1044,D,425.00,380.00
IKCO-O-991007,20201118,382.00,458.00,382.00,425.00,10376084000,24439,695,D,372.00,450.00
IKCO-O-991007,20201117,357.00,385.00,332.00,372.00,8310753000,22370,617,D,348.00,380.00
IKCO-O-991007,20201116,330.00,367.00,330.00,348.00,5774275000,16580,433,D,327.00,347.00
IKCO-O-991007,20201115,381.00,381.00,295.00,327.00,7512498000,22964,640,D,347.00,330.00
IKCO-O-991007,20201114,300.00,365.00,300.00,347.00,3068802000,8856,315,D,311.00,355.00
IKCO-O-991007,20201111,300.00,340.00,287.00,311.00,3944429000,12671,380,D,302.00,330.00
IKCO-O-991007,20201110,339.00,350.00,280.00,302.00,4286574000,14190,364,D,299.00,281.00
IKCO-O-991007,20201109,359.00,360.00,270.00,299.00,4137477000,13829,403,D,279.00,320.00
IKCO-O-991007,20201108,303.00,310.00,257.00,279.00,3473669000,12452,320,D,367.00,280.00
IKCO-O-991007,20201107,405.00,439.00,326.00,367.00,7882658000,21490,531,D,366.00,342.00
IKCO-O-991007,20201104,380.00,440.00,340.00,366.00,8405946000,22968,512,D,390.00,400.00
IKCO-O-991007,20201102,477.00,477.00,352.00,390.00,6848519000,17553,457,D,423.00,361.00
IKCO-O-991007,20201031,402.00,480.00,400.00,423.00,11315824000,26783,639,D,414.00,410.00
IKCO-O-991007,20201028,400.00,450.00,356.00,414.00,19295803000,46563,1144,D,363.00,449.00
IKCO-O-991007,20201027,419.00,419.00,340.00,363.00,11742264000,32332,774,D,363.00,360.00
IKCO-O-991007,20201026,291.00,396.00,291.00,363.00,20560622000,56666,1361,D,357.00,383.00
IKCO-O-991007,20201024,419.00,430.00,320.00,357.00,5162199000,14479,448,D,441.00,330.00
